ERROR   2017-11-28 06:45:18,311 [main] com.senla.library.util.FileWorker  - 
ERROR   2017-11-28 06:45:18,314 [main] com.senla.library.util.FileWorker  - 
ERROR   2017-11-28 06:47:38,809 [main] com.senla.library.ui.Builder  - java.lang.ArrayIndexOutOfBoundsException: 1
ERROR   2017-11-28 06:50:29,537 [main] com.senla.library.ui.Builder  - NoSuchIdException [id=1012]
ERROR   2017-11-28 06:51:07,054 [main] com.senla.library.ui.Builder  - NoSuchIdException [id=1012]
ERROR   2017-11-28 06:55:28,468 [main] com.senla.library.ui.Builder  - NoSuchIdException [id=1012]
ERROR   2017-11-28 06:56:57,003 [main] com.senla.library.util.FileWorker  - 
ERROR   2017-11-28 06:56:57,008 [main] com.senla.library.util.FileWorker  - 
ERROR   2017-11-28 06:56:57,012 [main] com.senla.library.util.FileWorker  - 
ERROR   2017-11-28 06:58:54,809 [main] com.senla.library.ui.Builder  - java.lang.NumberFormatException: For input string: "dexcription4"
ERROR   2017-11-28 06:59:53,206 [main] com.senla.library.ui.Builder  - NoSuchIdException [id=2011]
ERROR   2017-11-28 07:26:24,207 [main] com.senla.library.ui.Builder  - java.lang.ArrayIndexOutOfBoundsException: 1
ERROR   2017-11-28 07:27:51,296 [main] com.senla.library.ui.Builder  - NoSuchIdException [id=1022]
ERROR   2017-11-28 07:28:42,104 [main] com.senla.library.ui.Builder  - java.lang.ArrayIndexOutOfBoundsException: 1
ERROR   2017-11-29 18:23:22,459 [main] com.senla.library.ui.Builder  - NoSuchIdException [id=12]
ERROR   2017-11-30 00:46:54,209 [main] com.senla.library.ui.Builder  - NoSuchIdException [id=1]
ERROR   2017-11-30 00:47:02,434 [main] com.senla.library.ui.Builder  - NoSuchIdException [id=0]
ERROR   2017-11-30 01:53:06,477 [main] com.senla.library.ui.Builder  - NoSuchIdException [id=0]
ERROR   2017-11-30 02:03:32,238 [main] com.senla.library.ui.Builder  - NoSuchIdException [id=0]
ERROR   2017-11-30 03:09:19,105 [main] com.senla.library.ui.Builder  - NoSuchIdException [id=1000]
ERROR   2017-11-30 03:46:05,402 [main] com.senla.library.ui.Builder  - java.lang.NumberFormatException: For input string: "sgdh"
ERROR   2017-11-30 03:46:22,990 [main] com.senla.library.ui.Builder  - NoSuchIdException [id=1]
ERROR   2017-11-30 03:46:34,973 [main] com.senla.library.ui.Builder  - java.lang.NumberFormatException: For input string: "egseg"
ERROR   2017-11-30 03:48:02,036 [main] com.senla.library.ui.Builder  - java.lang.NumberFormatException: For input string: "ssgsg"
ERROR   2017-11-30 04:11:05,377 [main] com.senla.library.ui.Builder  - java.lang.NumberFormatException: For input string: "dfb"
ERROR   2017-11-30 04:12:22,886 [main] com.senla.library.ui.Builder  - java.lang.NumberFormatException: For input string: "dgdsg"
ERROR   2017-11-30 04:12:29,770 [main] com.senla.library.ui.Builder  - NoSuchIdException [id=12]
ERROR   2017-11-30 04:15:38,384 [main] com.senla.library.ui.Builder  - NoSuchIdException [id=0]
ERROR   2017-11-30 05:05:25,047 [main] com.senla.library.ui.Builder  - NoSuchIdException [id=1011]
ERROR   2017-12-01 01:54:00,377 [main] com.senla.library.ui.Builder  - java.lang.NumberFormatException: For input string: "sf"
ERROR   2017-12-02 03:38:46,804 [main] com.senla.library.util.FileWorker  - java.io.FileNotFoundException: data\order.ser (Системе не удается найти указанный путь)
ERROR   2017-12-02 03:38:46,836 [main] com.senla.library.util.FileWorker  - java.io.FileNotFoundException: data\request.ser (Системе не удается найти указанный путь)
